Address,AreaName,Price,lat,lng,postal_code,neighbourhood
"9 Struthers St Toronto, ON",Mimico,749000,43.609004999999996,-79.496078,M8V 1Y2,Struthers Street
"1574 Pharmacy Ave Toronto, ON",Wexford - Maryvale,649900,43.763866,-79.312263,M1R 2K7,Pharmacy Avenue
"26 Waterbury Dr Toronto, ON",Richview,595500,43.687061,-79.571083,M9R 3X6,Waterbury Drive
"#3010 - 65 St  Mary St Toronto, ON",Downtown,312000,43.666897,-79.389038,M5S 0A6,Bay Street
"1 Silbury Dr Toronto, ON",Agincourt,709900,43.809810999999996,-79.263359,M1V 2P2,Silbury Drive
"1465A Birchmount Rd Toronto, ON",Dorset Park,599900,43.755790999999995,-79.28788,M1P 2G4,Birchmount Road
"143 Princess Margaret Blvd Toronto, ON",Princess Margaret,1049000,43.666405,-79.553543,M9B 2Z4,Princess Margaret Boulevard
"175 Haddington Ave Toronto, ON",Nortown,2888000,43.733734000000005,-79.425026,M5M 2P7,Haddington Avenue
"## 911 - 5 Shady Gfwy Toronto, ON",Flemingdon Park,279900,43.717915000000005,-79.326309,M3C 3A5,Shady Golfway
"#1805 - 16 Harrison Garden Blvd Toronto, ON",Willowdale,299900,43.757698,-79.409042,M2N 7K6,Harrison Garden Boulevard
"68 Kenilworth Ave Toronto, ON",The Beach,1929000,43.668091,-79.301514,M4L 3S5,Kenilworth Avenue
"#1505 - 125 Western Battery Rd Toronto, ON",Niagara,399900,43.639946,-79.416664,M6K 3R8,Western Battery Road
"138 Mckee Ave Toronto, ON",Willowdale,3988000,43.774734,-79.40568499999999,M2N 4C5,McKee Avenue
"#2403 - 375 King St Toronto, ON",Downtown,548000,43.645641,-79.39295200000001,M5V 1K1,King Street West
"22 Strathearn Blvd Toronto, ON",Midtown Toronto,5288000,43.691134999999996,-79.415573,M5P 1S7,Strathearn Boulevard
"#406 - 300 Manitoba St Toronto, ON",Mimico,309000,43.62421,-79.489449,M8Y 4G9,Manitoba Street
"#1901 - 231 Fort York Blvd Toronto, ON",Niagara,369000,43.636837,-79.406052,M5V 4A2,Fort York Boulevard
"#1010 - 65 East Liberty St Toronto, ON",Liberty Village,420000,43.638054,-79.41481800000001,M6K 0A2,East Liberty Street
"#203 - 17 Kenaston Gdns Toronto, ON",Bayview Village,429000,43.766094,-79.385582,M2K 1G7,Kenaston Gardens
"#502 - 2 Anndale Dr Toronto, ON",Willowdale,559000,43.760464,-79.410248,M2N 0G5,Anndale Drive
"1060 Midland Ave Toronto, ON",Bendale,699900,43.744205,-79.262428,M1K 4G9,Midland Avenue
"#701 - 3 Massey Sq Toronto, ON",Old East York,315000,43.696827,-79.29341099999999,M4C 5L5,Massey Square
"#711 - 33 Singer Crt Toronto, ON",Bayview Village,428000,43.769611,-79.368416,M2K 0B4,Singer Court
"#1127 - 5 Everson Dr Toronto, ON",Willowdale,348800,43.757408,-79.406853,M2N 7C3,Everson Drive
"#1501 - 3050 Ellesmere Rd Toronto, ON",Morningside,209900,43.786037,-79.197723,M1E 5E6,Ellesmere Road
