Address,AreaName,Price,lat,lng,postal_code,neighbourhood
"#2016 - 155 Beecroft Rd Toronto, ON",Willowdale,469900,43.765537,-79.413155,M2N 7C5,North York
"#1016 - 35 Bales Ave Toronto, ON",Willowdale,515000,43.760181,-79.408218,M2N 7L7,North York
"#729 - 39 Queens Quay Way Toronto, ON",Downtown,438800,43.641346,-79.372421,M5E 0A4,Old Toronto
"22 Norman Wesley Way Toronto, ON",Downsview,579999,43.743221,-79.488487,M3M 3H4,North York
"25 Parkland Rd Toronto, ON",Birch Cliff,1790000,43.685295,-79.281013,M1N 1Y7,Scarborough
"30 Exeter St Toronto, ON",Carleton Village,699900,43.673656,-79.455894,M6N 1G2,Old Toronto
"#305 - 9 Burnhamthorpe Cres Toronto, ON",Islington,598000,43.649681,-79.530716,M9A 1G4,Etobicoke
"#Loft 2 - 2B Minto St Toronto, ON",Leslieville,1369900,43.663742,-79.324966,M4L 1B6,Old Toronto
"#1605 - 61 Markbrook Lane Toronto, ON",Rexdale,254900,43.759262,-79.585342,M9V 5E7,Etobicoke
"#724 - 2885 Bayview Ave Toronto, ON",Bayview Village,559999,43.767937,-79.387955,M2K 0A3,North York
"#402 - 323 Richmond St Toronto, ON",Old Town,337000,43.653217,-79.368378,M5A 4S8,Old Toronto
"90 Browning Ave Toronto, ON",Riverdale,1599000,43.682064,-79.353073,M4K 1V9,Old Toronto
"#3307 - 21 Widmer St Toronto, ON",Downtown,438000,43.647224,-79.391098,M5V 0B8,Old Toronto
"#1108 - 55 Bamburgh Circ Toronto, ON",Steeles,329900,43.814667,-79.326698,M1W 3V4,Scarborough
"42 Rovinelli Rd Toronto, ON",Malvern,849000,43.815105,-79.217415,M1B 4L2,Scarborough
"#907 - 5791 Yonge St Toronto, ON",Newtonbrook,389999,43.784409,-79.416061,M2M 0A8,North York
"592 The Queensway Toronto, ON",The Queensway,699900,43.628426,-79.49398,M8Y 1J9,Etobicoke
"#2604 - 1 King St Toronto, ON",Weston,319800,43.701572,-79.520187,M9N 1K8,York
"#713 - 15 Greenview Ave Toronto, ON",Newtonbrook,560000,43.78017,-79.418251,M2M 4M7,North York
"#1711 - 45 Charles St Toronto, ON",Downtown,448888,43.668777,-79.383995,M4Y 1S2,Old Toronto
"#2011 - 215 Fort York Blvd Toronto, ON",Niagara,399000,43.636345,-79.404808,M5V 4A2,Old Toronto
"#4004 - 21 Grenville St Toronto, ON",Downtown,704900,43.661793,-79.384506,M4Y 0B9,Old Toronto
"#1310 - 8 Mercer St Toronto, ON",Downtown,389000,43.645985,-79.389938,M5V 0C4,Old Toronto
"#201 - 3 Pemberton Ave Toronto, ON",Newtonbrook,283000,43.780453,-79.413811,M2M 4M1,Toronto
"#1103 - 3 Marine Parade Dr Toronto, ON",Mimico,579000,43.630383,-79.476273,M8V 3Z4,Etobicoke
"61 Boydwood Lane Toronto, ON",Rouge,3599000,43.806259,-79.158813,M1B 1H2,Scarborough
"75 Highland Cres Toronto, ON",York Mills,8995000,43.743626,-79.391846,M2L 1G7,North York
"#816 - 210 Victoria St Toronto, ON",Downtown,329000,43.654648,-79.37925,M5B 2R3,Old Toronto
"17 Tineta Cres Toronto, ON",White Haven,650000,43.786873,-79.256088,M1S 2Y5,Scarborough
"#612 - 800 Lawrence Ave Toronto, ON",Lawrence Heights,359000,43.714592,-79.452911,M6A 0B1,North York
"#525 - 380 MACPHERSON AVE Toronto, ON",Midtown Toronto,699000,43.676369,-79.405739,M4V 3E4,Old Toronto
"#2704 - 103 THE QUEENSWAY WAY Toronto, ON",Swansea,789900,43.636292,-79.470467,M6S 5B3,Old Toronto
"#725 - 10 CAPREOL CRT Toronto, ON",Downtown,379000,43.640224,-79.39595,M5V 4A3,Old Toronto
"#2103 - 151 DAN LECKIE WAY Toronto, ON",Downtown,568000,43.639782,-79.397949,M5V 4B2,Old Toronto
"#1407 - 914 YONGE ST Toronto, ON",Midtown Toronto,415000,43.674103,-79.388809,M4W 3C8,Toronto
"77 MCGILL ST Toronto, ON",Downtown,1299000,43.6604,-79.379234,M5B 1H3,Old Toronto
"#307 - 20 BLUE JAYS WAY Toronto, ON",Downtown,650000,43.643845,-79.391823,M5V 3W6,Old Toronto
"#902 - 150 EAST LIBERTY ST Toronto, ON",Liberty Village,388000,43.638775,-79.41626,M6K 3R5,Canada
"#511 - 44 GERRARD ST W Toronto, ON",Downtown,375000,43.658798,-79.384392,M5G 2K2,Old Toronto
"#Th6 - 6 PIRANDELLO ST Toronto, ON",King West Village,589900,43.63818,-79.413895,M6K 3P4,Old Toronto
"48 BALMORAL AVE Toronto, ON",Midtown Toronto,1399000,43.68544,-79.395966,M4V 1J4,Old Toronto
"148 BLYTHWOOD RD Toronto, ON",Midtown Toronto,2799000,43.717831,-79.395996,M4N 1A4,Old Toronto
"#432 - 231 FORT YORK BLVD Toronto, ON",Niagara,450000,43.636837,-79.406052,M5V 4A2,Old Toronto
"#N707 - 455 FRONT ST E Toronto, ON",Downtown,449900,43.652714,-79.3563,M5A 0J2,Old Toronto
"#711 - 2055 DANFORTH AVE Toronto, ON",East Danforth,397500,43.685455,-79.313133,M4C 1J8,Old Toronto
"712 BROCK AVE Toronto, ON",Wallace Emerson,939000,43.661915,-79.439941,M6H 3P2,Old Toronto
"#319 - 900 MOUNT PLEASANT RD Toronto, ON",North Toronto,380000,43.711781,-79.39164,M4P 3J9,Old Toronto
"#630 - 155 DALHOUSIE ST Toronto, ON",Downtown,565000,43.65765,-79.376762,M5B 2R2,Old Toronto
"#915 - 50 WESTERN BATTERY RD Toronto, ON",Niagara,349000,43.639881,-79.414192,M6K 3P1,Old Toronto
"1004 126 Simcoe Street Toronto, ON",Entertainment District,573000,43.649025,-79.387138,M5H 4E6,Old Toronto
"#804 - 210 SIMCOE ST Toronto, ON",Downtown,589000,43.652451,-79.388931,M5T 0A9,Old Toronto
"#202 - 8 MERCER ST Toronto, ON",Downtown,299000,43.645985,-79.389938,M5V 0C4,Old Toronto
"#4001 - 38 GRENVILLE ST Toronto, ON",Downtown,599000,43.661896,-79.38575,M4Y 1A5,Canada
"#411 - 10 YONGE ST Toronto, ON",Downtown,739900,43.642464,-79.375519,M5E 1R4,Old Toronto
"#707 - 383 ELLIS PARK RD Toronto, ON",Swansea,1299900,43.652039,-79.470833,M6S 5B2,Old Toronto
"#2111 - 290 ADELAIDE ST W Toronto, ON",Downtown,508000,43.647942,-79.390945,M5V 1P6,Old Toronto
"#1807 - 58 ORCHARD VIEW BLVD Toronto, ON",Midtown Toronto,599000,43.708008,-79.400787,M4R 0A2,Old Toronto
"4 A VIOLET AVE Toronto, ON",The Beach,2095000,43.668625,-79.296623,M4E 1B1,Old Toronto
"#702 - 500 SHERBOURNE ST Toronto, ON",Downtown,375000,43.667915,-79.375679,M4X 1L1,Old Toronto
"#2115 - 763 BAY ST Toronto, ON",Downtown,339000,43.660103,-79.385086,M5G,Old Toronto
